;"referenceName";"vernacularName";"type";"family"
;"Myrmotherula haematonota (Sclater, 1857)";;"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmotherula longipennis Pelzeln, 1868";"Myrmidon longipenne";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmotherula menetriesii (D'Orbigny, 1837)";"Myrmidon gris";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmotherula menetriesii cinereiventris Sclater & Salvin, 1868";;"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmotherula surinamensis (Gmelin, 1788)";"Myrmidon du Surinam";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myzomela caledonica W.A. Forbes, 1879";"Myzomèle calédonien";"Passeriformes (Passereaux)";"Meliphagidae"
;"Myzomela cardinalis (Gmelin, 1788)";;"Passeriformes (Passereaux)";"Meliphagidae"
;"Myzomela cardinalis lifuensis E. L. Layard & E. L. C. Layard, 1878";"Myzomèle cardinal, Sucrier cardinal, Colibri";"Passeriformes (Passereaux)";"Meliphagidae"
;"Nasica longirostris (Vieillot, 1818)";"Grimpar nasican";"Passeriformes (Passereaux)";"Furnariidae"
;"Nectarinia coquerellii Hartlaub, 1860";"Souimanga de Mayotte";"Passeriformes (Passereaux)";"Nectariniidae"
;"Nemosia pileata (Boddaert, 1783)";"Tangara coiffe-noire";"Passeriformes (Passereaux)";"Thraupidae"
;"Neochmia temporalis (Latham, 1802)";;"Passeriformes (Passereaux)";"Estrildidae"
;"Neopelma chrysocephalum (Pelzeln, 1868)";"Manakin à panache doré";"Passeriformes (Passereaux)";"Pipridae"
;"Neophron percnopterus (Linnaeus, 1758)";"Vautour percnoptère";"Accipitriformes";"Accipitridae"
;"Neopipo cinnamomea (Lawrence, 1869)";"Manakin cannelle, Moucherolle manakin";"Passeriformes (Passereaux)";"Tyrannidae"
;"Neopipo cinnamomea helenae McConnell, 1911";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Nesoenas duboisi Rothschild, 1907";;"Columbiformes (Pigeons, Tourterelles)";"Columbidae"
;"Nesoenas picturatus comorensis E. Newton, 1877";"Pigeon de Madagascar";"Columbiformes (Pigeons, Tourterelles)";"Columbidae"
;"Nesoenas picturatus Temminck, 1813";"Tourterelle peinte, Tourterelle malgache, Ramier";"Columbiformes (Pigeons, Tourterelles)";"Columbidae"
;"Nesofregetta fuliginosa (Gmelin, 1789)";"Océanite à gorge blanche";"Procellariiformes (Pétrels tempêtes, Albatros)";"Oceanitidae"
;"Netta peposaca (Vieillot, 1816)";"Nette demi-deuil";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
